county,age_cat,FMDab,herdsize
C,1,1,401
C,1,1,401
C,1,0,401
C,1,0,401
C,1,0,401
C,1,0,401
C,1,0,401
C,1,0,401
C,1,0,401
C,1,0,401
C,1,0,401
C,0,1,401
C,0,1,401
C,0,0,401
C,0,0,401
C,0,0,401
C,0,0,401
C,1,0,241
C,1,0,241
C,1,0,241
C,1,0,241
C,1,0,241
C,1,0,241
C,1,0,241
C,1,0,241
C,1,0,241
C,1,0,241
C,1,0,241
C,1,0,221
C,1,0,221
C,1,0,221
C,1,0,221
C,1,0,221
C,1,0,221
C,1,0,221
C,1,0,221
C,0,0,221
C,0,0,221
C,0,0,221
C,0,0,221
C,0,0,221
C,0,0,221
C,0,0,221
C,0,0,221
C,1,1,63
C,1,1,63
C,1,1,63
C,1,1,63
C,1,1,63
C,1,1,63
C,1,1,63
C,1,1,63
C,1,1,63
C,1,1,63
C,1,0,63
C,1,0,63
C,1,0,63
C,1,0,63
C,1,0,63
C,1,0,63
C,1,0,63
C,1,0,63
C,1,1,434
C,1,0,434
C,1,0,434
C,1,0,434
C,1,0,434
C,1,0,434
C,1,0,434
C,1,0,434
C,1,0,434
C,1,0,434
C,1,0,434
C,0,0,434
C,0,0,434
C,0,0,434
C,0,0,434
C,0,0,434
C,0,0,434
C,1,0,437
C,1,0,437
C,1,0,437
C,1,0,437
C,1,0,437
C,1,0,437
C,1,0,437
C,1,0,437
C,1,0,437
C,1,0,437
C,1,0,437
C,0,0,437
C,0,0,437
C,0,0,437
C,0,0,437
C,0,0,437
C,0,0,437
C,1,1,183
C,1,1,183
C,1,1,183
C,1,1,183
C,1,0,183
C,1,0,183
C,1,0,183
C,1,0,183
C,1,0,183
C,1,0,183
C,1,0,183
C,0,0,183
C,0,0,183
C,0,0,183
C,0,0,183
C,0,0,183
C,0,0,183
C,1,1,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,0,50
C,1,1,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
C,1,0,423
